,TRUE VALUE,SiO2 (wt. %),TiO2 (wt. %),Al2O3 (wt. %),Cr2O3 (wt. %),FeO (wt. %),MnO (wt. %),MgO (wt. %),CaO (wt. %),Na2O  (wt. %),IV (Al),H2O (wt. %),km_clustering_label,ap_clustering_label
0,1,47.604,2.858,5.749,0.062,7.024,0.087,12.625,22.916,0.328,0.207900292077079,0.061749555405654,0,7
1,1,51.788,1.166,2.557,0.475,6.801,0.145,14.762,21.743,0.327,0.0800708661043401,0.0148807369222512,1,6
2,1,46.561,3.109,6.139,0.145,6.914,0.037,12.478,23.112,0.62,0.238983797506194,0.0232039674234497,0,7
3,1,46.344,3.17,7.776,0.014,6.842,0.068,11.688,23.067,0.574,0.258930650458852,0.0497025259648673,0,7
4,1,50.18,1.965,3.294,0.106,5.729,0.063,13.603,23.626,0.54,0.121500446516895,0.0193327172802879,0,0
5,-1,51.292,0.982,3.573,0.602,7.121,0.109,16.064,19.349,0.312,0.101794768210219,0.0120894620189402,1,2
6,1,47.871,2.556,4.503,0.012,6.987,0.06,12.611,23.633,0.51,0.183700331381058,0.0345492423752281,0,1
7,1,52.855,1.035,1.523,0.947,3.673,0.069,15.87,23.198,0.371,0.0558831485266056,0.00359747848363605,1,5
8,1,48.455,1.851,5.684,0.408,6.668,0.071,14.514,21.551,0.259,0.19240674966535,0.0149788434414669,0,4
9,1,53.58,0.66,1.77,0.24,5.12,0.062,16.64,21.89,0.22,0.0448863729404434,0.055,1,5
10,1,50.709,1.203,4.273,0.369,6.962,0.142,14.816,20.906,0.485,0.123791522354567,0.00986642329710445,1,6
11,1,53.33,1.047,0.855,0.626,3.608,0.04,16.537,22.94,0.316,0.0380050607673379,0.00415803777219718,1,5
12,1,49.312,2.103,3.267,0.01,6.186,0.015,13.63,23.589,0.451,0.136911355802991,0.0349838807173081,0,1
13,1,49.809,1.429,4.46,0.522,6.899,0.107,13.286,22.187,0.434,0.134167100424055,0.0244231311706629,0,4
14,1,48.103,2.432,4.199,0.044,7.117,0.112,12.886,23.852,0.465,0.180444175167934,0.0358741644692463,0,1
15,1,51.221,1.088,3.3,0.052,7.94,0.17,15.062,20.564,0.45,0.0994459986869389,0.0163061391136516,1,6
16,1,51.618,1.074,3.038,0.403,6.793,0.151,14.749,21.366,0.359,0.0854421543753947,0.0203936402102834,1,6
17,1,52.413,0.832,3.546,0.488,6.573,0.119,15.366,20.905,0.431,0.0853184107236407,0.0267687866959688,1,3
18,1,51.439,1.661,2.02,0.058,5.928,0.071,14.033,23.458,0.591,0.0789974093524894,0.0185861355337912,1,0
19,1,51.515,1.692,2.146,0.015,6.03,0.09,14.015,23.876,0.52,0.0860515017626031,0.0355675476789109,1,0
20,1,52.631,0.883,2.269,0.413,6.584,0.152,14.855,22.209,0.351,0.0628358436784759,0.0202738978115474,1,3
21,1,50.726,0.982,3.943,0.546,7.854,0.178,16.214,19.001,0.412,0.12348839246492,0.0149435825105783,1,2
22,1,50.884,1.66,2.687,0.026,6.171,0.102,14.052,23.353,0.602,0.102708644305006,0.0184238363892807,1,0
23,-1,50.572,1.289,3.65,0.077,8.147,0.119,14.141,21.337,0.428,0.114804395480926,0.00378923436414542,1,6
