,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,NiO,ZnO,Li2O,ZrO2,V2O5,换算系数,Si,Ti,Al,Cr,Fe,Mn,Mg,Ca,Na,K,P,Ni,Zn,Li,Zr,V,Fe_projected,Mg_projected,Ca_projected
0,48.09,0.0,0.0,0.0,29.61,0.0,0.0,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5019669492475645,2.002556306930669,0.0,0.0,0.0,1.0311681054398474,0.0,0.0,0.963719280698814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5169054216317415,0.0,0.48309457836825853
1,48.18,0.0,0.0,0.0,29.17,0.0,0.0,22.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.480303568948613,1.988932409366113,0.0,0.0,0.0,1.0070493723377185,0.0,0.0,1.0150858089300543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49801288344449424,0.0,0.5019871165555058
2,48.41,0.0,0.0,0.0,24.42,0.0,0.0,22.53,0.0,0.0,0.0,0.0,5.16,0.0,0.0,0.0,2.4829207517168457,2.0005358186277733,0.0,0.0,0.0,0.8439525187479174,0.0,0.0,0.9975605780655266,0.0,0.0,0.0,0.0,0.1574152659310094,0.0,0.0,0.0,0.45829297668764546,0.0,0.5417070233123547
3,47.37,0.0,0.0,0.0,22.81,0.0,0.0,22.12,0.0,0.0,0.0,0.0,7.61,0.0,0.0,0.0,2.518604731937843,1.9856915625367513,0.0,0.0,0.0,0.7996405257989839,0.0,0.0,0.9934828302238902,0.0,0.0,0.0,0.0,0.2354935189036232,0.0,0.0,0.0,0.4459484190605698,0.0,0.5540515809394302
4,47.47,0.0,0.0,0.0,18.96,0.0,0.0,22.49,0.0,0.0,0.0,0.0,10.81,0.0,0.0,0.0,2.5232059110542058,1.9935187090814896,0.0,0.0,0.0,0.6658869783640631,0.0,0.0,1.011946090903741,0.0,0.0,0.0,0.0,0.3351295125692166,0.0,0.0,0.0,0.39687319946235894,0.0,0.6031268005376411
5,47.51,0.0,0.0,0.0,16.02,0.0,0.0,21.76,0.0,0.0,0.0,0.0,15.04,0.0,0.0,0.0,2.5238806247740677,1.9957320453874798,0.0,0.0,0.0,0.5627828017493537,0.0,0.0,0.9793612781547464,0.0,0.0,0.0,0.0,0.46639182932094,0.0,0.0,0.0,0.36493529306571076,0.0,0.6350647069342892
6,47.03,0.0,0.0,0.0,11.7,0.0,0.0,22.24,0.0,0.0,0.0,0.0,19.62,0.0,0.0,0.0,2.535908509337784,1.9849837257486473,0.0,0.0,0.0,0.41297992259968924,0.0,0.0,1.0057350651367283,0.0,0.0,0.0,0.0,0.611317560766287,0.0,0.0,0.0,0.29109435381281573,0.0,0.7089056461871842
7,46.37,0.0,0.0,0.0,7.69,0.0,0.0,21.65,0.0,0.0,0.0,0.0,23.76,0.0,0.0,0.0,2.57668145135827,1.9885944260353674,0.0,0.0,0.0,0.2758014637401188,0.0,0.0,0.9947956099988683,0.0,0.0,0.0,0.0,0.7522140741902776,0.0,0.0,0.0,0.21706445689231568,0.0,0.7829355431076843
8,45.98,0.0,0.0,0.0,5.76,0.0,0.0,21.94,0.0,0.0,0.0,0.0,26.9,0.0,0.0,0.0,2.572366721834362,1.9685671799002042,0.0,0.0,0.0,0.2062361828095029,0.0,0.0,1.0064326885718906,0.0,0.0,0.0,0.0,0.8501967688181984,0.0,0.0,0.0,0.17006801087800005,0.0,0.829931989122
9,51.04,0.01,0.36,0.0,17.75,0.79,6.88,22.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.356119202110316,2.00150332166687,0.00029501273425284124,0.016638117532728133,0.0,0.5821100695598534,0.026239256941612273,0.4021958145722255,0.9609010138249715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2992535499289116,0.20676248629111424,0.4939839637799742
10,54.57,0.0,0.0,0.0,1.92,0.0,18.36,24.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19861437320267,1.9968774253227985,0.0,0.0,0.0,0.05875702350299437,0.0,1.0015522005756505,0.9409694697801966,0.009932910991121669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02935974069143752,0.5004561351944788,0.47018412411408356
11,54.67,0.0,0.0,0.0,1.81,0.0,18.33,24.04,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1973218663116545,1.9993606582770194,0.0,0.0,0.0,0.05535817295841121,0.0,0.9993278535503329,0.9419836593635923,0.009217995147248659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027725253380719034,0.5004973334453819,0.47177741317389893
12,54.12,0.0,0.0,0.0,4.15,0.0,17.35,23.44,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2148085138201647,1.9949975328786398,0.0,0.0,0.0,0.12793629714873453,0.0,0.9534271465556734,0.9257826125496131,0.005717755977398493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06374040232403651,0.47501632658216936,0.4612432710937941
